Tanggal,Tahun,Bulan,T_avg,RH_avg,RR,Prediction_base_on_RH,Prediction_base_on_T
2020-05-23,2020,5,29.6,73.0,0.0,0.0,1.7312757634164768
2020-05-24,2020,5,31.2,65.0,0.0,0.0,0.0
2020-05-25,2020,5,30.4,72.0,0.0,0.0,0.0
2020-05-26,2020,5,29.9,73.0,1.0,0.0,0.21909966468945186
2020-05-27,2020,5,29.5,74.0,0.0,0.9292682926829201,2.2353344629921708
2020-05-28,2020,5,29.8,76.0,0.0,3.1341463414634063,0.7231583642651458
2020-05-29,2020,5,29.6,78.0,0.0,5.3390243902438925,1.7312757634164768
2020-05-30,2020,5,29.6,76.0,0.0,3.1341463414634063,1.7312757634164768
2020-05-31,2020,5,29.4,73.0,0.0,0.0,2.7393931625678647
2020-06-01,2020,6,30.3,73.0,0.6,1.9764527621221184,0.0
2020-06-02,2020,6,29.6,74.0,0.0,2.029588396752644,0.8925020205294345
2020-06-03,2020,6,28.7,80.0,4.5,2.3484022045358004,2.074197098135741
2020-06-04,2020,6,29.5,72.0,0.0,1.9233171274915923,1.023801473596805
2020-06-05,2020,6,29.7,74.0,0.0,2.029588396752644,0.761202567462071
2020-06-06,2020,6,28.9,76.0,0.2,2.135859666013696,1.8115981920010071
2020-06-07,2020,6,29.9,71.0,0.0,1.8701814928610663,0.498603661327337
2020-06-08,2020,6,29.5,75.0,0.0,2.08272403138317,1.023801473596805
2020-06-09,2020,6,28.7,80.0,0.0,2.3484022045358004,2.074197098135741
2020-06-10,2020,6,29.4,78.0,0.0,2.2421309352747483,1.1551009266641756
2020-06-11,2020,6,29.8,75.0,0.0,2.08272403138317,0.6299031143947005
2020-06-12,2020,6,28.48,77.18,3.5,0.0,2.993293269607314
2020-06-13,2020,6,29.4,74.0,0.0,2.029588396752644,1.1551009266641756
2020-06-14,2020,6,30.3,72.0,0.0,1.9233171274915923,0.0
2020-06-15,2020,6,30.1,76.0,0.0,2.135859666013696,0.2360047551925959
2020-06-16,2020,6,30.0,73.0,0.0,1.9764527621221184,0.36730420825996646
2020-06-17,2020,6,30.3,69.0,0.0,1.7639102236000141,0.0
2020-06-18,2020,6,29.9,74.0,0.0,2.029588396752644,0.498603661327337
2020-06-19,2020,6,29.3,75.0,0.0,2.08272403138317,1.286400379731539
2020-06-20,2020,6,29.3,74.0,5.8,2.029588396752644,1.286400379731539
2020-06-21,2020,6,28.9,77.0,0.0,2.188995300644222,1.8115981920010071
2020-06-22,2020,6,28.8,77.0,0.0,2.188995300644222,1.9428976450683777
2020-06-23,2020,6,28.0,80.0,6.5,2.3484022045358004,2.993293269607314
2020-06-24,2020,6,28.7,73.0,0.0,1.9764527621221184,2.074197098135741
